areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,1775,1838,1888,1838,,,,,,,,,,,,1975,2000,1950,2000,1975,1975,1925,1950,1950,1900,1795,1875,1875,1950,2000,1850,1850,1850,1900,1925,1925,1900,1900,2000,2050,2013,1975,1795,1850,2000,2100,1950,1950,1798,1795,1875,1850,1873,2163,2200,2250,2150,2200,2200,2225,2200,2200,2250,2300,2300,2300,2300,2250,2300,2300,2400,2350,2400,2375,2400,2450,2350,2400,2375,2250,2400,2250,2250,2500,2500,2549,2500,2400,2400,2400,2400,2375,2450,2450,2375,2210,2500,2350,2300,2300,2300,2375,2400,2475,2350,2475,2350,2100,2150,2200,2150,2050,2000,2100,2000,2150,2200,2175,2125,2150,2100,1900,2000,1875,1975,2170,2125,2063,2000,2000,2000,2050,2000,2023,1875,1850,1850,2113,2075,2200,2200,2250
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,1050,1025,1000,,1100,,,,,,,,,1025,1098,1123,,,,,1000,1088,,,1400,1400,1400,1400,1400,1375,1363,1400,1400,1400,1300,1325,1350,1388,1499,1550,1450,1488,1450,1438,1425,1450,1450,1350,1471,1475,1500,1513,1483,1450,1400,1400,1500,1500,1550,1550,1550,1550,1550,1525,1583,1600,1495,1325,1550,1598,1470,1525,1550,1550,1425,1795,1600,1820,1875,1720,1650,1550,1605,1595,1600,1775,1786,1750,1750,1699,1699,2008,1625,,,,1648,1695,1700,1601,1625,1625,1725,1662,1850,1680,1613,1625,1638,1625,1875,1750
Bedford-Stuyvesant,Brooklyn,neighborhood,1650,1650,1600,1650,1650,1593,1460,1450,1500,1650,1650,1750,1700,1600,1500,1500,1500,1600,1650,1650,1675,1675,1800,1700,1650,1650,1800,1850,1800,1795,1750,1750,1800,1800,1850,1995,1995,1950,1950,1983,2000,2100,2150,2200,2195,2195,2195,2195,2113,2150,2200,2200,2250,2300,2300,2350,2300,2250,2300,2300,2275,2250,2300,2350,2375,2400,2400,2459,2400,2350,2350,2300,2350,2350,2350,2400,2450,2475,2497,2496,2450,2450,2400,2400,2400,2350,2345,2395,2400,2475,2475,2475,2450,2400,2400,2350,2350,2300,2395,2450,2500,2500,2567,2587,2550,2500,2485,2475,2429,2450,2500,2500,2550,2525,2599,2612,2600,2650,2625,2520,2590,2537,2537,2537,2550,2550,2500,2500,2400,2300,2300,2250,2250,2250,2261,2300,2383,2475,2599,2650,2700,2700
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,,,2000,2100,,,2000,,,,,,,,,,,,1775,,,,1925,,,,,,2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2175,2400,,,,,,,1325,1300,1250,1250,,,,1075,,,,,,,,1295,1350,,1450,1725,1500,1500,1500,1500,1499,1500,1763,1650,1750,1550,1600,1600,1400,1475,1435,1550,1625,1698,1700,1700,1650,1775,1660,1670,1700,1675,1690,1700,1725,1750,1775,1750,1700,1613,1625,1650,1613,1725,1875,2000,1879,1840,2100,2100,1813,1725,1998,2200,2225,1850,1938,1850,2050,2400,2200,2200,2200,1850,1800,1750,1688,1695,2500,2298,2295,2295,2125,2075,2125,2225,2200,2223,2100,2200,2215,2000,2025,2150,2000,2200
Bensonhurst,Brooklyn,neighborhood,,,,,,,,,,,,,,,1300,1300,1350,1488,1375,1225,,,,,,,,,,,,1525,1550,,,,1500,1500,1425,1238,1350,1350,1400,1450,1313,1550,1500,1398,1373,1395,1450,1575,1600,1500,1500,1550,1575,1525,1500,1550,1600,1725,1600,1700,1698,1650,1598,1625,1650,1600,1700,1750,1675,1700,1773,1748,1800,1850,1800,1900,2100,2025,1875,1725,2000,1848,1800,1800,1700,1775,1700,1875,1725,1738,1700,1750,1700,1750,1800,1800,1880,1865,1700,1850,1900,1850,1863,1900,1850,1850,1900,1800,1900,1700,1700,1700,1700,1750,1750,1825,1962,1995,1999,1775,1700,1750,1650,1800,1800,1700,1600,1525,1550,1625,1738,1650,1650,1700,1695,1700,1750,1750
Bergen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,1995,1950,1950,,,,,1998,,,,,,,,,,,,,,,,,2000,2000,2000,2000,2000,2000,2000,,,,2299,,2200,2150,2050,,,,,2175,2275,2300,2150,2225,2063,2325,2300,2225,2100,2100,2100,,,,,2200,2150,2348,2448,,,,,,,,2450,,,,,,,,,,,,,2025,1900
Boerum Hill,Brooklyn,neighborhood,2600,2700,2600,2500,2500,2463,2475,2500,2850,2725,2775,2675,2638,3000,3125,3000,3598,2900,2800,2800,2500,2998,3000,3800,3500,3500,3000,3263,2675,2850,3048,3100,3275,3075,3000,3200,3100,3000,3000,3200,3300,3275,3200,3500,4150,3600,3050,3000,3075,3300,3300,3400,3000,3025,3046,3000,3000,2995,2875,2875,2800,2875,3100,2800,2800,2975,2900,2850,2975,2900,2850,2775,2800,2950,3050,3400,3500,3300,3200,2975,2875,2800,2821,2900,2987,3092,2995,2995,3102,3000,3200,3250,3300,3162,2999,3169,3000,3000,3000,2995,3400,3200,3200,3200,3200,3250,3498,3100,3000,2950,2950,3300,3361,3388,3395,3500,3300,3399,3399,3300,3300,3350,3275,3300,3375,3275,3188,3150,3000,2825,2750,2700,2600,2663,2700,2775,2800,2850,2995,2850,2800,3000
Borough Park,Brooklyn,neighborhood,,,,,,,,,,,1175,,,1225,1200,1150,1175,1200,1225,1300,,,1275,,,,,,1400,,1300,,,,,,,,,,,,,,,,1445,1300,1475,1700,1750,1800,1700,1695,1690,1700,1690,1525,1500,1500,1550,1595,1595,1699,1625,1600,1573,1550,1799,1800,1725,1750,1595,1650,1700,1750,1750,1900,1900,1900,2083,1850,1825,2025,2030,1995,1750,1795,1700,1750,1738,1795,1788,1897,1800,1650,1660,1638,1750,1700,1750,1850,1885,1825,1800,1900,1875,1700,1850,1863,1875,1900,1875,1863,1898,1995,1947,2075,1950,1888,1825,1950,2049,1778,1849,1700,1752,1850,1795,1795,1797,1795,1799,1700,1700,1825,1800,1800,1849,1900,1925,1850
